review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
Lumayan bagus dan asri,lumayan bagus asri,lumayan bagus asri,Lumayan bagus dan asri,4,Alexa chanel,2022-02-16T11:56:53.540Z,Desa Wisata Setulang,Kalimantan Utara
Desa dengan kearifan lokal yg luar biasa.,desa kearifan lokal,desa arif lokal,Desa dengan kearifan lokal yg luar biasa.,4,Anggitmas Dwindana G.J,2022-02-14T03:12:54.378Z,Desa Wisata Setulang,Kalimantan Utara
"Desa yang asri dan rindang.

Untuk perjalanan ke desa ini membutuhkan waktu sekitar 1 jam dari kota Malinau.",desa asri rindang perjalanan desa membutuhkan waktu jam kota malinau,desa asri rindang jalan desa butuh waktu jam kota malinau,"Desa yang asri dan rindang.

Untuk perjalanan ke desa ini membutuhkan waktu sekitar 1 jam dari kota Malinau.",5,Antonius Wibowo,2022-02-11T23:14:08.400Z,Desa Wisata Setulang,Kalimantan Utara
Kereen dan bersih.... sayang infomasi wisatanya kurang. Dan sulit mencari makanan lokal ......,keren bersih sayang infomasi wisatanya sulit mencari makanan lokal,keren bersih sayang infomasi wisata sulit cari makan lokal,Kereen dan bersih.... sayang infomasi wisatanya kurang. Dan sulit mencari makanan lokal ......,5,BIBONG W,2022-01-16T23:53:56.566Z,Desa Wisata Setulang,Kalimantan Utara
suasana nya Tenang,suasana tenang,suasana tenang,suasana nya Tenang,5,Frangky Lenggu,2021-12-26T23:26:50.098Z,Desa Wisata Setulang,Kalimantan Utara
Sangat recomended sebagai tempat wisata budaya,recomended wisata budaya,recomended wisata budaya,Sangat recomended sebagai tempat wisata budaya,5,Syahril Mangoundow,2021-12-25T03:07:56.983Z,Desa Wisata Setulang,Kalimantan Utara
Oke banget,oke banget,oke banget,Oke banget,5,Barnabas Philius,2021-06-25T00:25:52.293Z,Desa Wisata Setulang,Kalimantan Utara
Mantap gan,mantap gan,mantap gan,Mantap gan,3,Wendi Juwendi,2021-06-24T16:47:08.779Z,Desa Wisata Setulang,Kalimantan Utara
"Kami ke sungai tane olen dan cukup bagus. Ada yg berjualan makanan, penyewaan perahu karet buat anak2 dll.",sungai tane olen bagus berjualan makanan penyewaan perahu karet anak dll,sungai tane olen bagus jual makan sewa perahu karet anak dll,"Kami ke sungai tane olen dan cukup bagus. Ada yg berjualan makanan, penyewaan perahu karet buat anak2 dll.",5,djemi ferdinandus,2021-06-05T01:30:37.574Z,Desa Wisata Setulang,Kalimantan Utara
desa wisata setulang (tanah olen),desa wisata setulang tanah olen,desa wisata tulang tanah olen,desa wisata setulang (tanah olen),5,tidak di ketahui,2021-06-02T19:08:03.423Z,Desa Wisata Setulang,Kalimantan Utara
"desa wisata bgt
cocok buat wisatawan lokal atau asing",desa wisata banget cocok wisatawan lokal asing,desa wisata banget cocok wisatawan lokal asing,"desa wisata bgt
cocok buat wisatawan lokal atau asing",5,apipid,2021-04-23T06:40:15.865Z,Desa Wisata Setulang,Kalimantan Utara
Wow wow wow,wow wow wow,wow wow wow,Wow wow wow,4,Erna Indarwati,2021-04-14T02:21:31.344Z,Desa Wisata Setulang,Kalimantan Utara
"Desa yg indah.
Memiliki budaya lokal yg masih kental,budaya turun temurun dari nenek moyang terdahulu.
Juga memiliki hutan yg masih alami.",desa indah memiliki budaya lokal kental budaya turun temurun nenek moyang memiliki hutan alami,desa indah milik budaya lokal kental budaya turun turun nenek moyang milik hutan alami,"Desa yg indah.
Memiliki budaya lokal yg masih kental,budaya turun temurun dari nenek moyang terdahulu.
Juga memiliki hutan yg masih alami.",5,Lofu Sufi,2021-02-02T11:31:36.019Z,Desa Wisata Setulang,Kalimantan Utara
"""Desa Wisata Setulang"" Destinasi Wisata Budaya dan Wisata Alam di Kecamatan Malinau Selatan Hilir, Kabupaten Malinau, Kalimantan Utara",desa wisata setulang destinasi wisata budaya wisata alam kecamatan malinau selatan hilir kabupaten malinau kalimantan utara,desa wisata tulang destinasi wisata budaya wisata alam camat malinau selatan hilir kabupaten malinau kalimantan utara,"""Desa Wisata Setulang"" Destinasi Wisata Budaya dan Wisata Alam di Kecamatan Malinau Selatan Hilir, Kabupaten Malinau, Kalimantan Utara",5,Udau Hansicov,2021-01-19T10:17:17.556Z,Desa Wisata Setulang,Kalimantan Utara
Sangat menarik,menarik,tarik,Sangat menarik,5,Dalltil juwest,2020-12-28T22:04:51.171Z,Desa Wisata Setulang,Kalimantan Utara
"Tempat wisata, dari anak sampai orangtua maupun dari luar negeri untuk berkunjung melihat air terjun di desa wisata setulang, pohon besar dihutan lindung Tane Olen dan banyak lagi keunikan di Desa Wisata Setulang",wisata anak orangtua negeri berkunjung air terjun desa wisata setulang pohon dihutan lindung tane olen keunikan desa wisata setulang,wisata anak orangtua negeri kunjung air terjun desa wisata tulang pohon hut lindung tane olen uni desa wisata tulang,"Tempat wisata, dari anak sampai orangtua maupun dari luar negeri untuk berkunjung melihat air terjun di desa wisata setulang, pohon besar dihutan lindung Tane Olen dan banyak lagi keunikan di Desa Wisata Setulang",5,PARK ESON,2020-12-27T11:16:38.979Z,Desa Wisata Setulang,Kalimantan Utara
Kunjungan setelah rakor Kepsek dan WakaKur SMK SeKaltara,kunjungan rakor kepsek wakakur smk sekaltara,kunjung rakor kepsek wakakur smk sekaltara,Kunjungan setelah rakor Kepsek dan WakaKur SMK SeKaltara,5,Suheriyanto,2020-11-28T09:40:42.755Z,Desa Wisata Setulang,Kalimantan Utara
Alami dan baik untuk wisata permandian  keluarga,alami wisata permandian keluarga,alami wisata mandi keluarga,Alami dan baik untuk wisata permandian  keluarga,3,Christ Sniper,2020-11-28T09:40:08.438Z,Desa Wisata Setulang,Kalimantan Utara
Tempat wisata paling asik dan seru. Mari kunjungilah tempat ini saat liburan. Tks.,wisata asik seru mari kunjungilah liburan tks,wisata asik seru mari kunjung libur tks,Tempat wisata paling asik dan seru. Mari kunjungilah tempat ini saat liburan. Tks.,5,Pdt. ALFIUS THOMAS D'JURUN,2020-11-17T12:48:25.230Z,Desa Wisata Setulang,Kalimantan Utara
Desa wisata yg masih asri dgn hutan lindung yang masih terjaga dgn baik,desa wisata asri hutan lindung terjaga,desa wisata asri hutan lindung jaga,Desa wisata yg masih asri dgn hutan lindung yang masih terjaga dgn baik,5,Jerry efendi,2020-10-18T01:14:20.151Z,Desa Wisata Setulang,Kalimantan Utara
