review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
"Suasana cukup menyenangkan dan ramai pengunjung saat sore weekend. Ada sejumlah tenan makan/minum, harganya relatif terjangkau.. juga snack, aksesoris dan jajanan oleh2. Faktor kebersihan perlu lebih diperhatikan pihak pengelola, terutama di lokasi gazebo dan teater panggung.",suasana menyenangkan ramai pengunjung sore weekend tenan makan minum harganya relatif terjangkau snack aksesoris jajanan faktor kebersihan diperhatikan pengelola lokasi gazebo teater panggung,suasana senang ramai unjung sore weekend tenan makan minum harga relatif jangkau snack aksesoris jajan faktor bersih perhati kelola lokasi gazebo teater panggung,"Suasana cukup menyenangkan dan ramai pengunjung saat sore weekend. Ada sejumlah tenan makan/minum, harganya relatif terjangkau.. juga snack, aksesoris dan jajanan oleh2. Faktor kebersihan perlu lebih diperhatikan pihak pengelola, terutama di lokasi gazebo dan teater panggung.",4,Rony Hersandi,2025-02-02T23:10:02.553Z,Kampung Ketupat,Kalimantan Selatan
"Tempat nyaman buat ajak keluarga bersantai di sini.
Masuk ke sini gratis dan bisa cari tempat duduk yang sudah di sediakan tanpa harus membayarnya.... Bisa pesan makanan di tempat2 yang sudah di sediakan..",nyaman ajak keluarga bersantai gratis cari duduk sediakan membayarnya pesan makanan sediakan,nyaman ajak keluarga santa gratis cari duduk sedia bayar pesan makan sedia,"Tempat nyaman buat ajak keluarga bersantai di sini.
Masuk ke sini gratis dan bisa cari tempat duduk yang sudah di sediakan tanpa harus membayarnya.... Bisa pesan makanan di tempat2 yang sudah di sediakan..",5,Anwar Hadimi,2025-01-29T05:21:45.901Z,Kampung Ketupat,Kalimantan Selatan
"Masuk free, banyak stand makanan yg terjangkau, toilet ada. Parkir berbayar.",free stand makanan terjangkau toilet parkir berbayar,free stand makan jangkau toilet parkir bayar,"Masuk free, banyak stand makanan yg terjangkau, toilet ada. Parkir berbayar.",5,mustika azizah,2025-01-26T08:51:25.356Z,Kampung Ketupat,Kalimantan Selatan
Bagus harus di  bersihkan dan di perbaiki,bagus bersihkan perbaiki,bagus sih baik,Bagus harus di  bersihkan dan di perbaiki,5,Budi Setiawan,2025-01-22T05:07:36.925Z,Kampung Ketupat,Kalimantan Selatan
Energinya dominan negative..perlu diselamati😄,energinya dominan negative diselamati,energi dominan negative selamat,Energinya dominan negative..perlu diselamati😄,3,Gusti Ayu Meratna,2025-01-17T21:55:50.198Z,Kampung Ketupat,Kalimantan Selatan
"Baguss,,",bagus,bagus,"Baguss,,",5,Apriliana Imantasari,2024-03-17T16:33:48.735Z,Kampung Ketupat,Kalimantan Selatan
"Keren sih tempatnya. Tp klo hrs byr 20k per orang saat weekend, kyknya agak kemahalan yaa. Bayangin misal ada keluarga dgn3 orang anak mau santai malam mingguan hrs ngrogoh kocek 100 ribu buat masuknya aja. Belum buat makan dan minumnya.  Saya aja kesini pas ada event masuk gratis. Pakai syarat follow IG dan koment dipostingannya.

Jam buka 10-22. Tapi paa kesana jam 10 lewat, baru 1 atau 2 aja yg buka. Trs yg jaga loket juga gak tau kalau ada promo gratis masuk.

Alhamdulillah, pas berkeliling keliling lokasi lumayan menyenangkan. Semoga bisa terus dirawat. Pengen banget sebenarnya, kesana pas malam hari. Kyknya bakalan semakin keren krn banyak lampu hiasan z.",keren tempatnya kalo byr kak weekend kayaknya kemahalan bayangkan keluarga anak santai malam mingguan ngrogoh kocek ribu masuknya makan minumnya kesini pas event gratis pakai syarat follow ig komentar dipostingannya jam buka paa kesana jam buka jaga loket tau promo gratis alhamdulillah pas berkeliling keliling lokasi lumayan menyenangkan semoga dirawat pengin banget kesana pas malam kayaknya keren lampu hiasan,keren tempat kalo byr kak weekend kayak mahal bayang keluarga anak santai malam minggu ngrogoh kocek ribu masuk makan minum kesini pas event gratis pakai syarat follow ig komentar dipostingannya jam buka paa kesana jam buka jaga loket tau promo gratis alhamdulillah pas keliling keliling lokasi lumayan senang moga rawat pengin banget kesana pas malam kayak keren lampu hias,"Keren sih tempatnya. Tp klo hrs byr 20k per orang saat weekend, kyknya agak kemahalan yaa. Bayangin misal ada keluarga dgn3 orang anak mau santai malam mingguan hrs ngrogoh kocek 100 ribu buat masuknya aja. Belum buat makan dan minumnya.  Saya aja kesini pas ada event masuk gratis. Pakai syarat follow IG dan koment dipostingannya.

Jam buka 10-22. Tapi paa kesana jam 10 lewat, baru 1 atau 2 aja yg buka. Trs yg jaga loket juga gak tau kalau ada promo gratis masuk.

Alhamdulillah, pas berkeliling keliling lokasi lumayan menyenangkan. Semoga bisa terus dirawat. Pengen banget sebenarnya, kesana pas malam hari. Kyknya bakalan semakin keren krn banyak lampu hiasan z.",5,POJOK DAPUR Beta Asmoengin,2024-01-30T12:59:06.631Z,Kampung Ketupat,Kalimantan Selatan
Viw nya cantik tp agak sepi. Gabisa bawa makanan dari luar. Jadi kalo mau punya acara ultah kecil2 an kayaknya gabisa deh. Padahal di dalem makanan nya ga rekomendet bgt,viw cantik sepi bawa makanan kalo acara ultah an kayaknya dalem makanan rekomendet banget,viw cantik sepi bawa makan kalo acara ultah an kayak dalem makan rekomendet banget,Viw nya cantik tp agak sepi. Gabisa bawa makanan dari luar. Jadi kalo mau punya acara ultah kecil2 an kayaknya gabisa deh. Padahal di dalem makanan nya ga rekomendet bgt,4,Nisa 1,2024-01-24T14:35:03.266Z,Kampung Ketupat,Kalimantan Selatan
Salah satu tempat wisata di Banjarmasin,salah wisata banjarmasin,salah wisata banjarmasin,Salah satu tempat wisata di Banjarmasin,5,Ikhsan Albanjari,2023-12-28T12:44:31.300Z,Kampung Ketupat,Kalimantan Selatan
Banyak pembuat ketupat di sini,pembuat ketupat,buat ketupat,Banyak pembuat ketupat di sini,4,Rifani,2023-12-19T11:50:57.825Z,Kampung Ketupat,Kalimantan Selatan
